number,title,description
Theme 84,Gender," gender refers to the social, behavioral and cultural attributes, expectations and norms associated with
being male or female. gender equality refers to how these factors determine the way in which women and men
relate to each other and to the resulting differences in power between them.
for the purposes of coding, the theme encompasses wbg activities that -- irrespective of sector -- address
and/or close gaps between males and females (for example: gaps in financial inclusion, agricultural productivity,
occupational sex segregation, gaps in participation in local service delivery management, etc.) and other gaps that
may be identified in the scd/cpf at the country level (e.g., low female labor force participation relative to male
labor force participation).
examples of coded activities:
energy
     lao pdr rural electrification project phase 1 supported the “power to the poor” (p2p) program of the
         lao government. this program, implemented by electricité du laos (edl) is a targeted, subsidized,
         affordable, and sustainable financing mechanism for connection and indoor wiring for to the poorest rural
         households. it is designed with a gender focus to provide an interest free credit that allows the poorest rural
         households, who cannot afford to pay the entire costs of connection and internal wiring up front, to access
         the main electricity grid for basic service. the monthly payments for both the credit and electricity
         consumption are designed to be about the same as the cost for lighting by candles, diesel lamps, or car
         batteries prior to electrification. the pilot results showed that the increase in connection rate of female-
         headed households attributable to the p2p program design went from 63 percent to 90 percent.
agriculture
     agricultural support project, côte d’ivoire. in côte d’ivoire, the cashew processing workforce is made
         up of low-skilled workers, and women are primarily engaged in shelling and peeling tasks, for which
         productivity increases steeply with tenure and experience on the job. the agricultural support project
         aims to provide training and child care in areas where new medium-sized cashew processing factories will
         be opened. starting in fy16, an impact evaluation will examine the impact of child care on women’s
         employment and productivity and on firm output.
        levelling the field: improving opportunities for women farmers in africa, a joint world bank–
         one campaign policy report published in 2014, analyzes the factors that drive productivity gaps between
         male and female farmers and offers policy makers concrete actions to close those gaps. the report's findings
         are influencing client programs and operations. the democratic republic of congo growth poles project
         team, for example, decided to test one of the report's policy recommendation on the provision of rural child
         care to address women's child-care responsibilities and help them spend more time on agricultural work.
water
     the indonesia second additional financing for the third water supply and sanitation for low
         income communities/community based water supply project uses several approaches to give women
         in indonesia a voice in wss decision-making. communities plan and implement wss improvements of
         their choice. the project includes rules aimed at widening community participation in decisions,
         specifically targeting women for greater project success. the project will also support mobile-based
                                                      73
         monitoring systems, gender sensitivity tools, and social audits to enhance accountability of service
        providers. the community level process makes poverty targeting and gender equity transparent and
        verifiable by all stakeholders.
entrepreneurship
     the women entrepreneurship development project in ethiopia seeks to increase the earnings and
        employment of micro and small enterprises that are owned or partly owned by urban female entrepreneurs
        through a two-pillar approach. the first pillar tailors financial instruments to the needs of the participants
        by providing working capital and investment finance through a dedicated line of microfinance credit. this
        pillar also aims to improve the capacity of existing microfinance institutions to serve female growth-
        oriented entrepreneurs with tailored financial products. the second pillar develops the entrepreneurial and
        technical skills of the target group and supports cluster, technology, and product development for their
        businesses.
transport
     via lilas, rio de janeiro: this transport project uses existing supervia (metropolitan train) and teleferico
        (cable car) infrastructure in rio de janeiro to provide information about violence against women and girls
        (vawg) and associated services as outlined in the maria da penha law on domestic and family violence
        through kiosks in transit stations. the via lilas kiosks provide the rail network’s 700,000 daily passengers
        with access to information for responding to violence. in approximately three minutes, women can find
        phone numbers and location details for support services, and can register to receive a text message with
        more information. initiatives like this are innovative because they build upon existing systems to
        disseminate information and to raise awareness about services available for vawg survivors. the stations
        themselves house multiple services for survivors in an attempt to make support services more accessible.
       a survey of the liaoning urban transport project in china showed that between 70 and 80 percent of
        respondents were not auto users and had a greater need for sidewalks, secondary road repairs, and street
        lights. in general, women were more dissatisfied with the transport system than men. participatory
        consultations with women and men facilitated a dramatic change in the original urban transport project to
        include secondary road and pedestrian walkway improvements and traffic management safety measures.
ict
       eghana: creating jobs for women in the ict industry (it enabled services, business process outsourcing).
        eghana is credited with employing women in the it industry and helping create strong ict skills among
        women and young girls employed through the project. etransform ghana, a follow-up operation, builds
        on the results of the earlier project and includes an eid component that for the first time allows women to
        be included in processes related to digital identity, obtaining credentials, and authentication, all essential
        elements to online service delivery, financial inclusion, and social protection.
gender based violence
     the great lakes emergency sexual and gender-based violence and women's health project uses
        a multi-sectoral approach to address both the needs of survivors of sexual and gender based violence
        (sgbv) and of other vulnerable women in the targeted communities. the project aims to build solidarity
        and strengthen social cohesion as well as boost the capacity of health systems to deal with a full range of
        medical and mental health issues affecting survivors and other vulnerable women. key maternal and
        reproductive health services serve as an entry point for early identification and referral of survivors of
        sgbv, while the integrated response aims to support survivors’ physical, mental, social and economic
                                                     74
          well-being. men and children will also benefit from select project activities, as survivors of sgbv, as
         family members of survivors, and in the case of men as agents of change.
examples of excluded activities:
activities that do not have a bearing or impact on gaps between males and females. for example:
     a deposit insurance project, which aims at improving the financial and institutional capacity of a deposit
         insurance fund (such as deposit payout and overseeing the liquidation of insolvent banks).
     a public financial management project to procure computers or software to upgrade ministry of finance
         budget control/accounting systems.
mapping and ownership
relevant practice group:
    sustainable development
    human development
    equitable growth, finance and institutions
relevant global practices/cross-cutting solution areas:
    finance and markets          macroeconomics & fiscal management            education
    governance         poverty      trade and competitiveness       health    social protection and labor
agriculture         energy and extractives     environment and natural resources          social, urban, rural, and
resilience          gender     transport and ict         water
main contact point(s):
primary contact: stefano mocci (gen)
secondary contact: komlan kounetsron (urs)
                                                no level 3 themes
                                                       level 2
                                             disease control 
"
Theme 85,Disease Control," prevention, control, and treatment of communicable and non-communicable diseases.
"
Theme 86,HIV/AIDS," programs that increase access to hiv/aids prevention, treatment,
                                care and support services.
                                "
Theme 87,Malaria," activities aimed at the prevention, diagnosis, control and/or treatment
                                of malaria
                                "
Theme 88,Tuberculosis," activities aimed at the prevention, diagnosis and/or treatment of
                            tuberculosis (tb)
                            "
Theme 89,Neglected Tropical Diseases," activities aimed at prevention, control and treatment of neglected
                            tropical diseases (ntds)
                            "
Theme 90,Non-communicable Diseases," activities aimed to reduce morbidity and premature mortality from
                                  cardiovascular disease, hypertension, cerebrovascular disease, peripheral vascular
                                  disease, cancer, chronic obstructive pulmonary disease, asthma, diabetes, mental
                                  illness (including depression, post-traumatic stress disorder, suicide, psychosis,
                                  alcohol and drug abuse), other non-infectious, chronic conditions such as arthritis,
                                  osteoporosis, etc. this would also include preventable injuries (excluding
                                  road/traffic accidents).
                                  "
Theme 91,Health systems and Policies," programs and policies which aim to bring about improvements in the management, financing and
overall functioning of health systems.
                                                     78
 "
Theme 92,Health System Strengthening," activities which aim to improve the stewardship, management and
                                  overall functioning of health systems.
                                  "
Theme 93,Health Service Delivery," activities which aim to improve accessibility and utilization of
                                  quality health services.
                                  "
Theme 94,Health Finance," activities which aim to improve health financing systems to increase
                           service coverage and financial protection.
                           "
Theme 95,Private Sector Delivery in Health," activities to promote and strengthen health service delivery by private
                           sector.
                           "
Theme 96,Reproductive and Maternal Health," activities to improve reproductive health and reduce maternal
                           morbidity and mortality.
                           "
Theme 97,Adolescent Health," activities that improve the health status and well-being of
                                adolescents as well as promote safe behaviors.
                                "
Theme 98,Child Health," activities aimed to improve the health status of children, and reduce
                                child morbidity and mortality.
                                "
Theme 99,Demographics and Aging," activities that support research and policy formulation on links between demographic change and
development.
"
Theme 100,Education," the education sector facilitates learning experiences for children, youth, and adults in order to develop
a skilled and productive workforce to reduce poverty, accelerate growth, and boost shared prosperity. it includes
all types of formal learning from fine motor skills development in early childhood education to workforce training
and tertiary education.
it includes the following educational levels:
      early childhood education.
      primary education.
      secondary education (lower and upper).
      tertiary education.
      workforce development/skills.
      adult basic and continuing education.
      other education.
"
Theme 101,Access to Education," interventions that address supply and/or demand issues in educational
                                access and equity.
                                "
Theme 102,Education Financing," initiatives to improve the funding structures of education systems and
                                educational institutions on all levels.
                                "
Theme 103,Science and Technology," activities to promote scientific and technological knowledge and
                       innovation inside and outside of educational institutions. they can range from
                       initiatives to improve science curriculum and instruction in secondary schools to
                       research and development (r&d) grants at the tertiary level.
                       "
Theme 104,Teachers," activities to recruit, train, deploy, motivate, and evaluate teachers.
                       "
Theme 105,Student Assessment," activities that strengthen countries, teachers, and schools’ abilities to
                       collect and use information on student learning through assessments. this theme
                       also includes examinations on the tertiary level and skills certification.
                       "
Theme 106,"Education Governance, School-Based Management"," education systems need to ensure minimum levels of learning across
                          institutions and sub-sectors. operational standards for schools, training
                          institutions and universities can be developed to clearly define minimum
                          standards. supervision, accountability and/or accreditation systems monitor the
                          quality of institutions and provide feedback to students, parents, schools,
  education governance,
                          administration, and policymakers.
school-based management
                     "
Theme 107,"Standards, Curriculum and Textbooks"," activities that relate to the content delivered in educational
                          institutions including learning standards, curriculum, textbooks and other
                          teaching/learning materials. this includes initiatives to improve the relevance of
                          education content at all levels of the system.
                          "
Theme 108,Education Facilities," the construction, rehabilitation, and equipment of educational
                          institutions on all levels from early childhood education to tertiary.
                                              85
                                 "
Theme 109,Private Sector Delivery of Education," interventions that relate to the provision of education by groups
                                outside of the public sector such as ngos, community organizations, faith-based
                                organizations, and for-profit companies. this includes independent private
                                schools, government-funded private schools, privately managed schools, and
                                voucher schools.
                                "
Theme 110,Labor Market Policy and Programs," activities intended to improve the functioning of labor markets, facilitate transitions into employment,
improve the earnings opportunities of individuals, and manage risks facing workers.
"
Theme 111,Skills Development," skills development is a life–long process that proceeds in stages, each
                                  building on the previous one. foundational skills comprise the basic cognitive
                                  skills, such as literacy and numeracy, and socio-emotional skills, such as self-
                                  regulation and empathy, which children typically acquire in primary school and
                                  that are honed in adolescence. job-specific skills (hard skills) describe a person's
                                  technical skill set and ability to perform specific job-related tasks. socio-
   skills development 
                                  emotional skills help people navigate complex situations, focus on tasks, tolerate
                                  frustration and interact effectively with other people.
                                  "
Theme 112,Labor Market Institutions," the laws, practices, policies, and conventions that fall under the
                                  umbrella of labor market institutions‖ that: determine inter alia what kinds of
                                  employment contracts are permissible; set boundaries for wages and benefits,
                                  hours, and working conditions; define the rules for collective representation and
                                  bargaining; proscribe certain employment practices; and provide for social
   labor market institutions      protection for workers.
             
                                                     87
                                  "
Theme 113,Active Labor Market Programs," programs that stimulate labor demand, support job search and
                                 improve employability.
                                 "
Theme 114,Nutrition and Food Security," programs that include objectives and specific activities related to improving nutritional status or food
security at the household level.
"
Theme 115,Nutrition," activities aimed at improving nutritional status and reducing all forms of
                            malnutrition, including:
                                      stunting/chronic undernutrition
                                      underweight
                                      wasting
                                      micronutrient deficiencies
                            overweight/obesity: to be included as nutrition activities, the following criteria must
                            be met:
     nutrition              1. the project has an explicit nutrition objective (does not have to be pdo-level
                                     objective) or nutrition indicator. nutrition indicators should be specific to
                                     nutrition and not only an indicator to benchmark progress towards a nutrition-
                                     sensitive outcome.
                                 2. the project must contribute to nutrition-specific and/or nutrition-sensitive
                                     outcomes which are explicit in the project design through activities,
                                     indicators, and expected results.
                            "
Theme 116,Food Security," programs that include objectives and specific activities related to food
                    security at the household level.
                    "
Theme 117,Urban Development," activities involving a comprehensive approach to identifying challenges in urban areas and proposing
integrated solutions to improve living conditions in urban areas through planning, infrastructure
development/rehabilitation, finance, housing, and service provision.
"
Theme 118,Urban Infrastructure and Service Delivery," activities and investments contributing to the development and
                            improvement of citywide infrastructure and service delivery.
                            "
Theme 119,Services and Housing for the Poor," activities supporting extension or improvement of services and /or
                       housing for low income households in urban or peri-urban areas.
                       "
Theme 120,Public Transport," investments and policies for facilitating the access to or movement of
                       people or goods for the purposes of reaching jobs, markets, public services or other
                       socio-economic opportunities in urban, rural or inter-urban areas.
                       "
Theme 121,Urban Planning," activities aiming at fostering sustainable and equitable urban
                        development.
                        "
Theme 122,Municipal Finance," policies, institutions, systems and activities through which municipalities
                        receive, manage and expend fiscal and financial resources, including grants, own-
                        source revenues, expenditure assignments, city borrowing, municipal financial
                        planning and management.
                        "
Theme 123,Urban Water and Sanitation," activities supporting the development and/or rehabilitation of water
                             supply and sanitation systems in urban areas
                             "
Theme 124,Rural Development," the rural development theme encompasses investments and activities taken up in the rural space
targeting rural population. these include rural infrastructure, services including agricultural extension, local
economic development, rural non-farm development including rural micro and small enterprises, rural markets,
financial inclusion, livelihoods, landscape and natural resource development, land development and administration
and rural institutions, community based rural development and skill development for rural jobs.
the topic is multidisciplinary in nature and cuts across various gps including agriculture, environment and natural
resources, social development, trade and competitiveness, gender and jobs ccsa.
                                                      95
 "
Theme 125,Rural Markets," activities supporting the private sector to achieve efficient functioning of
                             rural markets for labor, land, inputs (fertilizer, seeds, equipment), services (including
                             financial and risk management services), and products (even where these supply urban
                             end-markets).
                             "
Theme 126,Rural Non-farm Income Generation," activities supporting incomes generation from off-farm and non-farm
                         sources in rural areas.
                         "
Theme 127,Rural Infrastructure and service delivery," service delivery is key to the development of rural regions this changing
                         rural situation requires the introduction of policy models that strengthen the capacity of
                         rural areas to adapt. from creating and sustaining employment to the provision of
                         services and infrastructure such structures, systems, facilities and the services necessary
                         for the rural economy to function.
                         "
Theme 128,Rural Water and Sanitation," activities supporting the development and/or rehabilitation of water supply
                 and sanitation systems in rural areas.
rural water and  "
Theme 129,Land Administration and Management," activities aiming at land policy and rights, regulatory framework on land,
                      land rights regularization, land and property registration, cadastre and cadastral
                      mapping, state land inventorying, property valuation, property taxation, land use
                      planning, land management, and state land management services and systems, and
                      geospatial data, infrastructure and services.
 land administration
                      "
Theme 130,Geospatial Services," services aiming at the collection, processing, analysis, visualization,
                      storage, and improving access and use of spatially-referenced data and information.
                      "
Theme 131,Land Policy and Tenure," initiatives supporting land tenure, land policy, land rights, land rights
                            regularization, land reform, land governance, regulatory framework on land and
                            dispute resolution arrangements.
                            "
Theme 132,Cultural Heritage," activities supporting protection, conservation and sustainable development of cultural property and
intangible heritage, embrace cultural diversity and bring tangible economic benefits to local communities in an
inclusive manner.
"
Theme 133,Road Safety," activities in urban, interurban and rural spaces that provide safe mobility on the road for all or any
class of road users to prevent them from being killed or seriously injured in a road traffic crash. road users might
include pedestrians, cyclists, motorcyclists, motorists, vehicles passengers, road based public transport users, etc.
projects which are designed to shift the transport of people or goods from road based transport to other modes
(water, rail) may have a road safety component by reducing exposure to road transport if it is a specific goal of the
project, which can be estimated based on risk reduction.
"
Theme 134,Disaster Risk Management," processes for designing, implementing, and evaluating strategies, policies, and measures to improve
the understanding of disaster risk, foster risk reduction and transfer, and promote continuous improvement in
disaster preparedness, response, and recovery practices, with the explicit purpose of increasing human security,
wellbeing, quality of life, and sustainable development.
"
Theme 135,Disaster Response and Recovery," activities supporting response, recovery and reconstruction following
                                   a natural disaster in affected countries, equipping governments and disaster risk
                                   management practitioners with the necessary skills and resources to conduct their
                                   own post-disaster assessments and resilient reconstruction planning, and
                                   supporting the implementation of large reconstruction programs.
                                   "
Theme 136,Disaster Risk Reduction," technical advice, capacity building, and implementation assistance,
                              for governments, civil society, and the private sector to create and improve
                              policies and legislation needed for better land use planning, and to drive
                              investment aimed at reducing risk based on risk information.
                              "
Theme 137,Disaster Preparedness," activities aiming to improve forecasting and early warning systems,
                              contingency and emergency response plans, strengthen civil protection services
                              and improve protocols to help local communities anticipate, prepare for, and
                              quickly respond to disasters.
                              "
Theme 138,Flood and Drought Risk Management," used to capture support physical infrastructure investments including
                               both greenfield and rehabilitation projects, and/or institutional capacity building
                               support to strengthen flood and drought risk management.
                               "
Theme 139,Climate change," interventions that contribute to reducing greenhouse gas emissions and/or to reducing vulnerability to
 climate change through resilience-building and adaptation activities. any activity/project component that has
 climate change co-benefits assigned to it should be identified with the “climate change” theme code.
 "
Theme 140,Mitigation," mitigation finance promotes efforts towards the reduction, limitation,
                                  or sequestration of ghg emissions.
                                  mitigation co-benefits are assigned if the activity:
                                        is listed on the mdb positive list compatible with lower carbon emission
                                           pathways; and
                                        demonstrates net ghg reductions in the project documents if required
         mitigation                   according to the positive list (i.e. waste water treatment, biofuels,
                                           hydropower, etc.).
                                  "
Theme 141,Adaptation," adaptation finance is associated with activities that aim to lower the
                                 current or future risks or vulnerabilities posed by climate change.
                                 adaptation co-benefits are assigned if the project documents clearly lay out all
                                 three steps required by the mdb climate adaptation finance methodology:
                                      context of vulnerability to climate variability and change.
       adaptation                statement of purpose or intent.
                                      clear and direct link between climate vulnerability and project
                                          activities.
                                 "
Theme 142,Environmental Health and Pollution Management," cleaner production; prevention and abatement of pollution; design and implementation of
interventions to reduce the burden of environment-related diseases.
"
Theme 143,Air Quality Management," interventions that address prevention and abatement of air
                                   pollution.
                                   "
Theme 144,Water Pollution," activities that promote cleaner production and prevention of
                                   wastewater discharges; wastewater treatment; management of wastes
                                   associated with wastewater treatment; control of groundwater pollution.
                                   "
Theme 145,Soil Pollution," activities that address remediation and redevelopment of
                     contaminated sites and hazardous waste management; interventions for
                     integrated waste management; containment to prevent, or significantly reduce
                     the migration of contaminants in soils
                     "
Theme 146,Renewable Natural Resources Asset Management," activities that involve the management of renewable natural resource assets in an integrated way across
ecosystems (including coastal and aquatic ecosystems), watersheds, and rural landscapes thereby providing the
basis for enhanced livelihoods, food and water security, sustained energy supplies, and the ability to adapt to the
impacts of climate variability and change.
"
Theme 147,Forests Policies and institutions," improving forest-related policy framework and strengthening
                                     institutional capacities at the national and sub-national level.
                                     "
Theme 148,Fisheries Policies and institutions," improving global fisheries management (both capture fisheries and
                       aquaculture), with a view to increasing their economic, social, and
                       environmental benefits through sustainable approaches.
                       "
Theme 149,Oceans," activities that promote development of a new, integrated approach
                       to the blue economy, with a view to encouraging the sustainable management
                       of all oceans-related economic activities, and with an emphasis on avoiding
                       conflicts between users.
    oceans 
                       "
Theme 150,Biodiversity," biodiversity comprises the multitudes of different species on our
                   planet, as well as genetic diversity within species and populations. it also refers
                   to the ecosystems in which species form communities, interacting with one
                   another and their physical environment. these ecosystems can be forests,
                   savannas, deserts or other terrestrial environments and can also be freshwater
                   or marine. this theme is intended to capture activities whose primary purpose
                   is to directly conserve or protect biodiversity (at a genetic, species, or
                   ecosystemic level) or to support its sustainable use by human populations, as
                   well as investments which would indirectly achieve the same goals, e.g.,
                   training or policy or regulatory interventions.
biodiversity  "
Theme 151,Landscape Management," activities that promote landscape management and approach.
                           landscape management is about land use planning and connecting protected,
                           areas, forests, woodlands, agro-silvo-pastoral lands, watersheds, croplands, and
                           irrigated agricultural lands for the provision of ecosystem services,
                           adaptation/mitigation to climate change, and increased productivity. the
                           landscape approach entails managing multiple land uses in an integrated
                           manner, taking into consideration both environmental conditions and the human
                           needs that depend on healthy ecosystems.
                           "
Theme 152,Coastal Zone Management," support to development of integrated coastal zone management
                           practices, with a particular emphasis on adaptation to the impacts of climate
                           change and disaster risk management
 coastal zone management   "
Theme 153,Watershed Management," activities that support watershed management. watershed
                           management is the integrated use of land, vegetation and water in a
                           geographically discrete drainage area for the benefit of its residents and
                           downstream water-users, with the dual objective of conserving or protecting
                           the hydrologic services that the watershed provides and of reducing or avoiding
                           negative downstream or groundwater impacts. it includes coordinated multi-
                           sectoral approaches in a spatial, hydrologic context. although watersheds,
                           catchments, or basins come in several sizes, ranging from small micro-
watershed management 
                           watersheds to trans-boundary watersheds, the work of watershed management
                           relates to modernizing information, institutions, and sustainable land and water
                           investments for improving watershed services (e.g. related to
                           erosion/sedimentation, hydrology, water quality, biodiversity, etc.) to improve
                           natural resources sustainability and improve productivity (e.g. in agriculture,
                           water supply, environmental flows, hydropower, climate resilience).
                           "
Theme 154,Environmental policies and institutions," analysis and promotion of policies in support of the objectives of “clean, green and resilient”
growth.
"
Theme 155,Water Resource Management," water resource management includes the planning, development, sustainable use, and operation of
water resources to improve productivity and resilience.
"
Theme 156,"Water Institutions, Policies and Reform"," used to capture support to institutions, policies and reforms to
                                  strengthen water security and water resources management. such interventions
                                  may focus at the national, sub-national (regional, provincial, state, local), or at
                                  the river basin level, including transboundary river basins. the institutional
                                  capacity may include support to water service providers, governments, river
                                  basin organizations, or local water user groups for various aspects including
                                  rules, regulations, roles and responsibilities, organizational structures, plans,
water institutions, policies and
                                  processes, decision support tools, information systems, stakeholder
         reform 
                                  participation mechanisms, incentives, asset management etc.
                                  "
Theme 157,Energy," energy is a property of objects which can be transferred to other objects or converted into different
forms. energy can be found in a number of different forms. it can be chemical energy, electrical energy, heat
(thermal energy), light (radiant energy), mechanical energy, and nuclear energy.
"
Theme 158,Energy Efficiency," operations to improve the efficiency, by which energy is
                         produced, transformed and used.
                         use for:
                                 rehabilitation of existing power plants, regardless of fuel and
                                  including fuel substitution to a cleaner fuel, that lead to higher overall
                                  efficiency (or lower heat rate) for the electricity generated.
                                 transmission and distribution projects whose primary objective is to
 energy efficiency 
                                  reduce technical losses and whose financing amount can be
                                  distinguished from other project components (e.g., efficient, resizing
                                  of conductors, balancing of phases, power factor correction, reactive
                                  power compensation).
                                 district heating and district cooling.
                                 conversion to combined heat and power plants.
                                 waste heat recovery, co-generation, and tri-generation.
                                 specialized entities providing energy efficiency services or providing
                                  heat and power demand side management solutions.
                                 energy efficiency interventions by utilities.
                                 energy efficiency interventions in industry.
                                 energy efficiency interventions in buildings.
                                 demand response measures.
                         "
Theme 159,Energy Policies & Reform," development or reform of energy sector policies (electricity, oil,
                         gas) relating specifically to sector strategy and objectives, sector planning,
                         institutional architecture of the sector, governance of sector institutions, energy
                         prices and subsidies, sector legal and regulatory frameworks, energy markets
                         and contracting mechanisms, private sector participation in power.
energy policies & reform
                         "
Theme 160,Access to Energy," support for new or improved access to modern energy services.
                       "
